#Position (bp)	mapping quality
3088287.0	50.733712301459306
9264860.0	59.48510580661929
1.5441433E7	48.03539302150007
2.1618006E7	59.25181547364959
2.7794579E7	58.64007629230847
3.3971152E7	59.8715952182126
4.0147725E7	58.989164507410614
4.6324298E7	58.910865138830474
5.2500871E7	59.79431801438549
5.8677444E7	59.99778739115153
6.4854017E7	59.57067719760488
7.103059E7	59.36067894427865
7.7207163E7	59.99622871119018
8.3383736E7	59.97163418888266
8.9560309E7	59.32277465311688
9.5736882E7	59.9440365295258
1.01913455E8	36.33993346736986
1.08090028E8	54.188468166576584
1.14266601E8	59.65226820710301
1.20443174E8	54.40049091772365
1.26619747E8	0.0
1.3279632E8	0.0
1.38972893E8	0.0
1.45149466E8	24.23557971952273
1.51326039E8	49.02853649528786
1.57502612E8	58.03723746787406
1.63679185E8	56.820952000751056
1.69855758E8	59.719060378038165
1.76032331E8	59.91521460163169
1.82208904E8	59.93539510908318
1.88385477E8	59.92423058613702
1.9456205E8	57.75296092707145
2.00738623E8	57.318918141395905
2.06915196E8	52.92369923662961
2.13091769E8	59.977048771138996
2.19268342E8	57.59685101573072
2.25444915E8	59.43925312325314
2.31621488E8	59.934595589635265
2.37798061E8	59.82816946573966
2.43974634E8	53.969145264809114
2.480096715E8	47.80263021570984
2.51097958E8	59.56196544860349
2.5632778E8	59.929093324781235
2.62504353E8	59.72290343215161
2.68680926E8	59.99712767673173
2.74857499E8	59.85481861702988
2.81034072E8	59.75755946470346
2.87210645E8	59.929100299394094
2.93387218E8	59.71152955926393
2.99563791E8	59.97279462609099
3.05740364E8	59.912476535312756
3.11916937E8	59.84282916133022
3.1809351E8	59.737993504003214
3.24270083E8	59.747303478778626
3.30446656E8	59.90329365864037
3.36623229E8	33.15434395877006
3.42799802E8	54.09999467439865
3.48976375E8	55.820738723958065
3.55152948E8	30.335679301502918
3.61329521E8	25.509742149960577
3.67506094E8	59.945424156979094
3.73682667E8	59.97272084368839
3.7985924E8	30.220545196525926
3.86035813E8	59.99605743412288
3.92212386E8	59.96955753937753
3.98388959E8	50.16199911141321
4.04565532E8	59.86622177402606
4.10742105E8	59.84537463481524
4.16918678E8	59.47837318849303
4.23095251E8	59.2778715040506
4.29271824E8	58.60827133575999
4.35448397E8	59.99577654787602
4.4162497E8	59.96911982608544
4.47801543E8	59.55524636087873
4.53978116E8	59.80906239674579
4.60154689E8	59.93017068366574
4.66331262E8	59.85290044908468
4.72507835E8	59.962710948497595
4.78684408E8	57.98071897614786
4.84860981E8	59.422405530276095
4.895496095E8	58.18508773617431
4.92637896E8	59.997910876735396
4.97214127E8	59.99253301432433
5.033907E8	59.594392548437206
5.09567273E8	59.96477960546515
5.15743846E8	59.63208302854928
5.21920419E8	59.07187123490311
5.28096992E8	59.88013408559984
5.34273565E8	59.593513031557364
5.40450138E8	59.79987131906563
5.46626711E8	59.981979392574324
5.52803284E8	59.99757236801672
5.58979857E8	59.72573264090436
5.6515643E8	57.14922266015849
5.71333003E8	59.97152055150386
5.77509576E8	59.98812465862798
5.83686149E8	57.948413097770576
5.89862722E8	58.50853514043081
5.96039295E8	59.9967580260513
6.02215868E8	59.941472997820455
6.08392441E8	59.9604981855585
6.14569014E8	59.38238873185006
6.20745587E8	59.15046623030585
6.2692216E8	59.98022934466644
6.33098733E8	59.945277325459536
6.39275306E8	59.76247080406119
6.45451879E8	59.746513081869146
6.51628452E8	59.840014052743115
6.57805025E8	59.99723238840942
6.63981598E8	59.87868577339809
6.70158171E8	58.7581966195154
6.76334744E8	59.856972325046584
6.82511317E8	59.997138150320886
6.87522557E8	55.4999871856798
6.906108435E8	59.574858782417216
6.94864463E8	59.89238031068099
7.01041036E8	54.46731583050149
7.07217609E8	59.876806979624526
7.13394182E8	59.78315862380672
7.19570755E8	59.99953306302871
7.25747328E8	59.346693624477695
7.31923901E8	59.82504041078245
7.38100474E8	59.99221594673112
7.44277047E8	59.65692201042459
7.5045362E8	59.99713571719151
7.56630193E8	56.381829906983455
7.62806766E8	59.73932861665222
7.68983339E8	59.947270158562965
7.75159912E8	59.9281077867297
7.81336485E8	59.99807243947679
7.87513058E8	58.262785037507435
7.93689631E8	59.275489960167604
7.99866204E8	59.88775052624197
8.06042777E8	59.98251611600703
8.1221935E8	59.95678960732226
