#Read position (bp)	Clipping profile
0.0	12.410059599879323
1.0	4.737044503746519
2.0	3.572626266157549
3.0	3.0768453886163325
4.0	2.654350480437437
5.0	2.2178716770445295
6.0	2.0214497414921593
7.0	1.8226971567374537
8.0	1.6389643112866867
9.0	1.4763367891681782
10.0	1.3166873188082096
11.0	1.2156925200403461
12.0	1.1220781104132111
13.0	1.0377862975954175
14.0	0.9582852636935351
15.0	0.8793021518366162
16.0	0.8150798182611545
17.0	0.7540944974667138
18.0	0.6968641114982579
19.0	0.643000218822064
20.0	0.584992949786163
21.0	0.5444655497677766
22.0	0.5021254225920185
23.0	0.460173736949983
24.0	0.42236542766765456
25.0	0.38766465065510664
26.0	0.36267491198562246
27.0	0.33794413433862003
28.0	0.3192989407199376
29.0	0.3033728378373129
30.0	0.9955756509309001
31.0	1.0201769480666618
32.0	0.8339839729023185
33.0	0.8203885192220293
34.0	0.8521112444760377
35.0	0.8778778662129669
36.0	0.9032560464161737
37.0	0.8635055294652326
38.0	0.6762767102109626
39.0	0.6641055421543226
40.0	0.5756703529768217
41.0	0.4838686705070586
42.0	0.4290984142521788
43.0	0.35594192540109826
44.0	0.3354840046250439
45.0	0.3315995892878183
46.0	0.341440108142123
47.0	0.35128062699642765
48.0	0.3625454314743816
49.0	0.38844153372255175
50.0	0.42249490817889546
51.0	0.47441659318647655
52.0	0.5056213963955215
53.0	0.5524933414647094
54.0	0.5890068456346294
55.0	0.6306995702541832
56.0	0.6854698265090631
57.0	0.745289822702336
58.0	0.8023907281595511
59.0	0.8649298150888819
60.0	0.9318712394004016
61.0	1.0046392867177596
62.0	1.0886721385130718
63.0	1.1719281072409387
64.0	1.2641182312444244
65.0	1.3638182248998794
66.0	1.5030097744837936
67.0	1.6389643112866867
68.0	1.8081953394784782
69.0	1.977296887159029
70.0	2.1432909025697997
71.0	2.492240880363892
72.0	2.7983328089372628
73.0	3.0545747406829062
74.0	3.9574423455653576
75.0	3.773968461137072
