#Position (bp)	insert size
3088287.0	959.1263664350103
9264860.0	1222.808207166657
1.5441433E7	163.99699968284173
2.1618006E7	4973.976925336983
2.7794579E7	1216.8407136056956
3.3971152E7	166.46936157258415
4.0147725E7	1977.8820497740357
4.6324298E7	2426.264403423368
5.2500871E7	1483.336170180689
5.8677444E7	2075.2175981211685
6.4854017E7	1465.2074952044068
7.103059E7	165.69172214872808
7.7207163E7	1248.9982589102826
8.3383736E7	165.77061825848835
8.9560309E7	164.82561603761732
9.5736882E7	165.70072522363168
1.01913455E8	166.51859698512672
1.08090028E8	165.86872044295595
1.14266601E8	165.90091231820438
1.20443174E8	164.60008205315222
1.26619747E8	163.38410671531182
1.3279632E8	0.0
1.38972893E8	0.0
1.45149466E8	163.4086447502466
1.51326039E8	165.26582396020896
1.57502612E8	165.5664555962251
1.63679185E8	166.07563542101448
1.69855758E8	618.2491113017896
1.76032331E8	166.81514379408782
1.82208904E8	166.16801632443202
1.88385477E8	166.40765985580708
1.9456205E8	774.747760788926
2.00738623E8	165.6977672853304
2.06915196E8	165.70369696925616
2.13091769E8	166.4560036874856
2.19268342E8	166.14812382252796
2.25444915E8	165.8063989896332
2.31621488E8	319.9859767352551
2.37798061E8	165.68495710061856
2.43974634E8	165.97738410633676
2.480096715E8	166.36005758538522
2.51097958E8	6675.677561046092
2.5632778E8	3309.9537993800177
2.62504353E8	5125.292702960213
2.68680926E8	166.51209645435077
2.74857499E8	165.3772736611837
2.81034072E8	1258.0777175431733
2.87210645E8	900.3133112861005
2.93387218E8	166.11882222070875
2.99563791E8	1980.2758205781124
3.05740364E8	1159.8336548008992
3.11916937E8	1593.6732714159077
3.1809351E8	3092.9567268341016
3.24270083E8	1613.713346512804
3.30446656E8	164.73833780160857
3.36623229E8	762.1679158785017
3.42799802E8	210.7208059989713
3.48976375E8	164.83574581908132
3.55152948E8	589.2253174059206
3.61329521E8	722.559020796987
3.67506094E8	166.01099463504164
3.73682667E8	165.78335584977035
3.7985924E8	488.94809656056395
3.86035813E8	3061.631084922891
3.92212386E8	166.10633042279412
3.98388959E8	165.69916703113196
4.04565532E8	1606.777583875049
4.10742105E8	165.91139479811346
4.16918678E8	166.24251536058765
4.23095251E8	166.05417853595713
4.29271824E8	165.91947998561224
4.35448397E8	1728.1577499553916
4.4162497E8	165.68951494365507
4.47801543E8	165.61003219097327
4.53978116E8	661.6487325144494
4.60154689E8	164.84959534648456
4.66331262E8	164.86270610525656
4.72507835E8	166.09924421550414
4.78684408E8	165.2360632304717
4.84860981E8	165.5994054524362
4.895496095E8	166.1948934912336
4.92637896E8	166.45623954306814
4.97214127E8	165.46189901428284
5.033907E8	369.219383112218
5.09567273E8	165.90699874961982
5.15743846E8	5388.277163412127
5.21920419E8	165.95467395838162
5.28096992E8	165.93749629483253
5.34273565E8	165.8715228043724
5.40450138E8	501.74994159806386
5.46626711E8	935.1591467396374
5.52803284E8	165.3211711938719
5.58979857E8	166.2133111216881
5.6515643E8	1239.8443948259933
5.71333003E8	165.32111931455657
5.77509576E8	164.9764377388067
5.83686149E8	348.33271645075774
5.89862722E8	166.6640957233411
5.96039295E8	164.8187768285945
6.02215868E8	165.88794305366216
6.08392441E8	166.32473690576992
6.14569014E8	519.2609842699304
6.20745587E8	166.55430014621825
6.2692216E8	166.08571299014883
6.33098733E8	165.49710624466556
6.39275306E8	891.5547551692963
6.45451879E8	164.82404668093633
6.51628452E8	166.00253961243305
6.57805025E8	166.14121350757594
6.63981598E8	165.68057950058395
6.70158171E8	166.10352364551596
6.76334744E8	165.09498553871035
6.82511317E8	166.3810918866754
6.87522557E8	165.8782710347537
6.906108435E8	1836.547277156319
6.94864463E8	165.58537585047955
7.01041036E8	164.80960654763265
7.07217609E8	167.05940777297965
7.13394182E8	2117.246702702703
7.19570755E8	159.8487013879346
7.25747328E8	165.84640648092397
7.31923901E8	3007.2498267313536
7.38100474E8	736.5628117521552
7.44277047E8	165.4816905657125
7.5045362E8	6289.699226668668
7.56630193E8	166.52918164713773
7.62806766E8	166.26038489765963
7.68983339E8	165.36547273504146
7.75159912E8	860.7973874221462
7.81336485E8	165.27862979258327
7.87513058E8	1448.84726123005
7.93689631E8	165.90890289680573
7.99866204E8	165.70702719217843
8.06042777E8	166.25157648403865
8.1221935E8	166.29210723611075
8.18395923E8	166.152145557447
8.24572496E8	3242.608628527318
8.30749069E8	347.7015362535331
8.36925642E8	166.09468747762583
8.43102215E8	166.23213616420838
8.49278788E8	166.50800618659875
8.55455361E8	166.1212125877571
8.61631934E8	165.61796117591743
8.67808507E8	165.8110370485196
8.7398508E8	166.3654446219668
8.78366716E8	163.75092129507766
8.814550025E8	2889.1441371071496
8.86338226E8	165.5194738727673
8.92514799E8	165.95155916120387
8.98691372E8	164.8786220472441
9.04867945E8	163.46446185088482
9.11044518E8	225.13101404913272
9.17221091E8	166.1326867237264
9.23397664E8	166.26728365643305
9.29574237E8	162.4731182795699
9.3575081E8	166.354756548958
9.41927383E8	165.898179938716
9.48103956E8	164.82076141981705
9.54280529E8	166.26682499302746
9.60457102E8	166.3413660833711
9.66633675E8	166.03650987432675
9.72810248E8	2806.899042078339
9.78986821E8	165.91792225403043
9.85163394E8	165.96236310350147
9.91339967E8	164.57383000663927
9.9751654E8	166.65174031014718
1.003693113E9	166.2445647250657
1.009869686E9	166.68916481614696
1.016046259E9	698.0915351796682
1.022222832E9	166.29052060421665
1.028399405E9	166.74310544524099
1.034575978E9	165.78054707358794
1.040752551E9	164.96324234760618
1.046929124E9	165.8059391275264
1.053105697E9	188.26154169586545
1.058696154E9	165.17624140680235
1.0617844405E9	165.80919656392118
1.065458843E9	165.6214353884329
1.071635416E9	738.9133581387741
1.077811989E9	165.698517090398
1.083988562E9	2307.8391851183687
1.090165135E9	166.20380283101233
1.096341708E9	248.74280244849163
1.102518281E9	189.9652109883154
1.108694854E9	166.1715495940699
1.114871427E9	166.3129356512377
1.121048E9	164.2865872185274
1.127224573E9	2631.5223228624654
1.133401146E9	166.224841709537
1.139577719E9	165.4131964251759
1.145754292E9	166.26500361948317
1.151930865E9	708.1177571005628
1.158107438E9	166.08482270239423
1.164284011E9	166.5801531046215
1.170460584E9	165.77899350370828
1.176637157E9	165.64006058067218
1.18281373E9	165.94720103148168
1.188990303E9	165.03324734468
1.195166876E9	262.24346549192364
1.201343449E9	165.73308187709407
1.207520022E9	166.4757027059725
1.213696595E9	164.98532090527007
1.219873168E9	165.98307234996156
1.226049741E9	165.9000659941548
1.2305711655E9	166.5512326862399
1.233659452E9	165.22876848178868
1.238402887E9	164.86216361408162
1.24457946E9	1281.3006709166011
1.250756033E9	3223.8826680751527
1.256932606E9	3362.921462771155
1.263109179E9	165.96081392794378
1.269285752E9	165.665557104403
1.275462325E9	165.45412374953688
1.281638898E9	165.88903827350188
1.287815471E9	1695.6934786896416
1.293992044E9	163.47957091418283
1.300168617E9	165.3667286579879
1.30634519E9	164.94007596353353
1.312521763E9	166.40357081652047
1.318698336E9	166.03129958171067
1.324874909E9	166.52104383930455
1.331051482E9	181.66758768114707
1.337228055E9	423.11275899797783
1.343404628E9	165.8495895635831
1.349581201E9	166.390899966544
1.355757774E9	165.46807790755832
1.361934347E9	166.14603397285205
1.36811092E9	166.52114805329603
1.374287493E9	166.06342613454544
1.380464066E9	166.32534124157652
1.386640639E9	165.4628716969118
1.390539601E9	166.51281048308235
1.3936278875E9	166.1514348308225
1.398993785E9	445.52454060536405
1.405170358E9	1823.740197634733
1.411346931E9	166.31364281023045
1.417523504E9	166.34006177030244
1.423700077E9	1038.1384196510196
1.42987665E9	166.00501487280263
1.436053223E9	164.81200198849513
1.442229796E9	306.55467670376026
1.448406369E9	165.7442851453604
1.454582942E9	165.8152830485258
1.460759515E9	165.91891547591243
1.466936088E9	165.1214302920001
1.473112661E9	164.97035573122528
1.479289234E9	165.11744228887957
1.485465807E9	164.62379071569632
1.49164238E9	165.77648306115105
1.497818953E9	165.35685578091412
1.503995526E9	165.50712480310634
1.510172099E9	166.33594859537914
1.516348672E9	404.4061044782615
1.522525245E9	165.98864142142463
1.528701818E9	165.62123060833187
1.5341395085E9	166.0979351623167
1.537227795E9	166.0674286621423
1.541054964E9	1135.6908000896458
1.547231537E9	3626.0099388379203
1.55340811E9	165.26278766229305
1.559584683E9	165.47359169213294
1.565761256E9	166.03272044580862
1.571937829E9	166.26648561680568
1.578114402E9	164.50499507113747
1.584290975E9	79.0
1.590467548E9	0.0
1.596644121E9	480.8767175992085
1.602820694E9	308.21782820715913
1.608997267E9	165.33205724974985
1.61517384E9	165.69086110771275
1.621350413E9	166.04000368697575
1.627526986E9	165.82634313963172
1.633703559E9	165.5359669197961
1.639880132E9	527.332504917133
1.646056705E9	165.30653106328782
1.652233278E9	165.44135141248952
1.658409851E9	166.52279213651332
1.664586424E9	165.35982430222128
1.670762997E9	165.2316227812427
1.6743674565E9	165.94082486551105
1.677455743E9	165.71424998436817
1.683116143E9	165.8044224041303
1.689292716E9	165.52617291589738
1.695469289E9	237.00055059188628
1.701645862E9	166.06496882041608
1.707822435E9	165.12431346476268
1.713999008E9	163.4555288892073
1.720175581E9	165.60226886854562
1.726352154E9	165.76086181134622
1.732528727E9	165.80530162139507
1.7387053E9	166.16933743390524
1.744881873E9	165.3431118602655
1.751058446E9	1483.8144009722175
1.757235019E9	168.02810915237865
1.763411592E9	166.62368215334558
1.769588165E9	314.39570538243623
1.775764738E9	165.9815471262904
1.781941311E9	166.2267569926437
1.788117884E9	166.87475517329472
1.794294457E9	280.55384104073687
1.80047103E9	165.47994040336266
1.806120184E9	181.52926032456233
1.8092084705E9	166.43275017494753
1.812824176E9	165.80189423835833
1.819000749E9	1081.9769458737114
1.825177322E9	427.976074273533
1.831353895E9	2205.0200847006313
1.837530468E9	166.29319091630234
1.843707041E9	1328.6122597755182
1.849883614E9	165.72978677733258
1.856060187E9	165.5298005825678
1.86223676E9	165.85859517041817
1.868413333E9	166.03053299171617
1.874589906E9	165.31170348492142
1.880766479E9	166.42225156817432
1.886943052E9	516.3796432471787
1.893119625E9	165.75520313850654
1.899296198E9	409.1214245021794
1.905472771E9	165.67856121792582
1.911649344E9	328.9518903449315
1.917825917E9	165.9196317035458
1.92400249E9	166.16857824737014
1.930179063E9	166.49332932496995
1.936355636E9	166.50644082113524
1.941605798E9	165.38175064291838
1.9446940845E9	166.5671403298522
1.948708782E9	1222.5768796223774
1.954885355E9	165.20127989657402
1.961061928E9	1469.8489026092104
1.967238501E9	474.6780204595141
1.973415074E9	877.2478664914197
1.979591647E9	2506.441006250482
1.98576822E9	166.3651457656094
1.991944793E9	166.29459169054442
1.998121366E9	165.9799442896936
2.004297939E9	166.3226248098465
2.010474512E9	166.12030168150346
2.016651085E9	755.5336788329789
2.022827658E9	166.31885261237665
2.029004231E9	165.31453844901503
2.035180804E9	165.52221948492488
2.041357377E9	166.1514984131145
2.04753395E9	166.17867356273817
2.053710523E9	165.53911892678116
2.059887096E9	165.8480575074711
2.066063669E9	168.03115473070545
2.072240242E9	164.875012347305
2.0761857555E9	166.11942561746122
2.079274042E9	0.0
2.084593388E9	0.0
2.090769961E9	156.53240740740742
2.096946534E9	165.3437945052953
2.103123107E9	165.9474296928271
2.10929968E9	166.24117087747894
2.115476253E9	166.0648337482219
2.121652826E9	166.6048163800641
2.127829399E9	783.2275551684088
2.134005972E9	163.13139138518747
2.140182545E9	162.32191427095887
2.146359118E9	162.5595793468807
2.152535691E9	166.02531885253663
2.158712264E9	164.1566492611932
2.164888837E9	161.20456414473685
2.17106541E9	165.81405043395065
2.177241983E9	166.20096628184916
2.183418556E9	163.8841499810082
2.1889570765E9	166.4451678488618
2.192045363E9	0.0
2.195771702E9	0.0
2.201948275E9	0.0
2.208124848E9	165.73548327820654
2.214301421E9	184.44335996500035
