Journal,2017IF,2018IF,中科院分区,大类学科,录用比例,审稿周期
PHYSIOLOGIA PLANTARUM,3.33,2.58,2区,生物,0.5,约3.0个月
PHYSIOLOGICAL AND MOLECULAR PLANT PATHOLOGY,1.139,1.395,3区,农林科学,较易,>12周，或约稿
PHYTOCHEMISTRY REVIEWS,3.393,3.875,3区,生物,,>12周，或约稿
PHYTOPATHOLOGY,2.896,3.036,1区,农林科学,容易,"偏慢,4-8周"
PLANT AND CELL PHYSIOLOGY,4.76,4.059,2区,生物,较难,约3.0个月
PLANT AND SOIL,3.052,3.306,1区,农林科学,约50%,约3.0个月
PLANT BIOLOGY,2.106,2.156,3区,生物,容易,"偏慢,4-8周"
PLANT BIOTECHNOLOGY JOURNAL,7.443,6.305,2区,生物,约25%,平均2月
PLANT BREEDING,1.335,1.392,3区,农林科学,容易,约3.0个月
PLANT CELL,8.688,8.228,1区,生物,约11.66%,约4.5个月
PLANT CELL AND ENVIRONMENT,6.173,5.415,1区,生物,较难,约1.0个月
PLANT CELL REPORTS,2.869,2.989,3区,生物,约33.33%,约3.0个月
PLANT CELL TISSUE AND ORGAN CULTURE,2.002,2.004,3区,生物,约66.66%,约3.0个月
PLANT DISEASE,3.173,2.941,1区,农林科学,约56.25%,约3.0个月
Plant Genome,2.736,2.923,2区,生物,较易,>12周，或约稿
PLANT GROWTH REGULATION,2.646,2.081,3区,生物,约41.66%,约4.5个月
PLANT JOURNAL,5.901,5.775,2区,生物,较难,约3.0个月
Plant Methods,3.51,4.269,2区,生物,较易,"较慢,6-12周"
PLANT MOLECULAR BIOLOGY,3.356,3.543,2区,生物,较难,约1.0个月
PLANT PATHOLOGY,2.425,2.303,2区,农林科学,较易,平均3月
PLANT PHYSIOLOGY,6.456,5.949,1区,生物,约20%,约3.0个月
PLANT PHYSIOLOGY AND BIOCHEMISTRY,2.724,2.718,3区,生物,约75%,约7.0个月
Plant Reproduction,2.629,2.707,3区,生物,,
PLANT SCIENCE,3.437,3.712,2区,生物,约50%,约6.0个月
PLANT SOIL AND ENVIRONMENT,1.225,1.421,3区,农林科学,容易,平均1月
PLANTA,3.361,3.249,2区,生物,约37.5%,约2.3个月
PLoS Genetics,6.1,5.54,1区,生物,较难,"很快,2-3周"
PLoS One,2.806,2.766,3区,生物,0.88,约2.6个月
POSTHARVEST BIOLOGY AND TECHNOLOGY,3.248,3.112,2区,农林科学,约65%,约3.0个月
Protein & Cell,5.374,6.228,2区,生物,,"较慢,6-12周"
Rice,3.739,3.039,1区,农林科学,较易,>12周，或约稿
SCANDINAVIAN JOURNAL OF FOREST RESEARCH,1.688,1.6,3区,农林科学,0.5,约2.0个月
SCIENCE,37.205,41.058,1区,综合性期刊,约5%,约3.3个月
Scientific Reports,4.259,4.122,3区,综合性期刊,,"很快,2-3周"
THEORETICAL AND APPLIED GENETICS,4.132,3.93,2区,生物,约75%,约3.0个月
TRANSGENIC RESEARCH,2.341,2.197,3区,生物,较易,"偏慢,4-8周"
Tree Genetics & Genomes,1.624,1.829,3区,生物,约50%,平均3月
TREE PHYSIOLOGY,3.653,3.389,1区,农林科学,较难,"偏慢,6-12周"
Tree-Ring Research,1.769,1.136,2区,农林科学,容易,>36周，或约稿
TREES-STRUCTURE AND FUNCTION,1.842,1.782,2区,农林科学,较易,约3.0个月
TRENDS IN PLANT SCIENCE,11.911,12.149,1区,生物,多是约稿,"较慢,6-12周"
Turkish Journal of Agriculture and Forestry,1.288,1.434,3区,农林科学,容易,约12.0个月
URBAN FORESTRY & URBAN GREENING,2.113,2.782,2区,农林科学,较易,"较慢,6-12周"
WEED RESEARCH,1.782,1.766,3区,农林科学,较易,"较慢,12-24周"
WEED SCIENCE,1.862,2.044,2区,农林科学,较易,"较慢,12-24周"
WEED TECHNOLOGY,0.88,1.246,3区,农林科学,容易,"偏慢,12-24周"
Horticulture Research,3.6,3.368,,,,
