gene_id	Regulation	Type
RCSD1	up	mRNA
ANXA2R	down	mRNA
RPA3	down	mRNA
CENPW	down	mRNA
CASP10	down	mRNA
WDFY4	down	mRNA
CDR2L	up	mRNA
GTF2H5	down	mRNA
PIK3CD	up	mRNA
EBPL	down	mRNA
POP5	down	mRNA
SELENBP1	down	mRNA
STC1	up	mRNA
CDKN2B	up	mRNA
CD276	up	mRNA
LBH	up	mRNA
PYCR1	up	mRNA
CHCHD1	down	mRNA
TOMM7	down	mRNA
NKAIN1	down	mRNA
KCNC4	down	mRNA
KLHL24	up	mRNA
TRAF1	up	mRNA
COX7A2	down	mRNA
TP53INP2	up	mRNA
TPRKB	down	mRNA
NFIB	down	mRNA
MRPL40	down	mRNA
DUSP4	up	mRNA
PLAUR	up	mRNA
TLR3	down	mRNA
KLF5	up	mRNA
GPR176	up	mRNA
MRPS21	down	mRNA
PLXNA1	up	mRNA
HSH2D	down	mRNA
SLC7A11	up	mRNA
SHMT2	up	mRNA
CPT1C	down	mRNA
UBA7	down	mRNA
KLRG1	down	mRNA
FKBP11	down	mRNA
HES4	down	mRNA
PLEKHA4	down	mRNA
ME1	up	mRNA
PTTG1	down	mRNA
B2M	down	mRNA
TIMM8B	down	mRNA
ERH	down	mRNA
HAPLN3	down	mRNA
ROBO4	up	mRNA
HMGCR	up	mRNA
PLLP	down	mRNA
HS3ST1	down	mRNA
SOD2	up	mRNA
CREG2	down	mRNA
HLA-C	down	mRNA
CBR1	down	mRNA
SOX17	up	mRNA
ULBP1	up	mRNA
RWDD1	down	mRNA
SLIRP	down	mRNA
FDPS	up	mRNA
KDM7A	up	mRNA
NDUFS5	down	mRNA
HRH1	up	mRNA
SH3RF3	up	mRNA
ICAM1	up	mRNA
KLHL21	up	mRNA
COLGALT1	up	mRNA
RPS24	down	mRNA
OST4	down	mRNA
OR2I1P	up	mRNA
AFMID	down	mRNA
COMMD1	down	mRNA
BMP4	down	mRNA
DYNLL1	down	mRNA
TRAFD1	down	mRNA
