gene_id	Regulation	Type
GAS7	up	mRNA
PRSS3	down	mRNA
CSDC2	up	mRNA
GCKR	down	mRNA
SOX6	up	mRNA
C2orf72	up	mRNA
ST18	down	mRNA
MLIP	down	mRNA
SFRP4	up	mRNA
C16orf74	down	mRNA
DIO2	down	mRNA
FGL2	down	mRNA
CYP2J2	down	mRNA
NIM1K	up	mRNA
APLN	up	mRNA
ROBO2	down	mRNA
SAMD9L	down	mRNA
PTGES	down	mRNA
HS6ST3	down	mRNA
FOSB	down	mRNA
LY6K	down	mRNA
RXFP1	down	mRNA
MOV10L1	up	mRNA
KCNC3	up	mRNA
COPS9	down	mRNA
NPY1R	up	mRNA
UQCRHL	down	mRNA
IL21R	down	mRNA
KRT5	down	mRNA
CDK18	up	mRNA
BTBD11	down	mRNA
RGS16	up	mRNA
CNKSR2	down	mRNA
PPP2R2B	down	mRNA
HTR2B	up	mRNA
PPFIA4	up	mRNA
SHH	down	mRNA
DIRAS3	down	mRNA
RASL11A	down	mRNA
KYNU	down	mRNA
SLC44A5	down	mRNA
NTRK3	up	mRNA
CCL5	down	mRNA
INPP5D	up	mRNA
GPR137C	down	mRNA
ALPL	up	mRNA
AADAC	down	mRNA
C4orf47	up	mRNA
TMEFF1	down	mRNA
SYT7	up	mRNA
GBP5	down	mRNA
PCSK9	up	mRNA
LPAR3	down	mRNA
UCP2	up	mRNA
LYPD6B	down	mRNA
ARPP21	up	mRNA
C6orf141	down	mRNA
GALNT12	down	mRNA
TFCP2L1	up	mRNA
HTR2A	up	mRNA
PCSK6	up	mRNA
CD163L1	up	mRNA
ARHGAP20	down	mRNA
RASSF6	up	mRNA
MYRIP	down	mRNA
KRT16	up	mRNA
TMEM71	down	mRNA
GREM2	down	mRNA
CES3	up	mRNA
BTC	down	mRNA
HS3ST1	down	mRNA
CAPN14	up	mRNA
CFAP221	down	mRNA
SHLD3	down	mRNA
HTR1D	up	mRNA
SPOCK3	down	mRNA
JAM2	up	mRNA
INHBB	up	mRNA
ASTN1	up	mRNA
ARHGEF35	down	mRNA
CCK	down	mRNA
PABPC3	up	mRNA
AL031708.1	down	mRNA
KIF5A	up	mRNA
MEOX2	down	mRNA
OTUD7A	up	mRNA
FAM189A2	up	mRNA
ISM2	up	mRNA
ANKRD20A1	down	mRNA
SYP	up	mRNA
RTN4R	up	mRNA
