gene_id	Regulation	Type
DPYSL4	up	mRNA
TMEM123	down	mRNA
RPS27L	down	mRNA
DTX3L	down	mRNA
NFKB2	up	mRNA
SAMD14	up	mRNA
CD38	down	mRNA
TLR3	down	mRNA
PHGDH	up	mRNA
ATP5MC3	down	mRNA
CAPZA2	down	mRNA
NDRG1	up	mRNA
MRPL22	down	mRNA
IFIT2	down	mRNA
RIPOR1	up	mRNA
UQCRH	down	mRNA
EFNB1	up	mRNA
SAP18	down	mRNA
PDGFB	up	mRNA
PPM1K	down	mRNA
OPLAH	up	mRNA
HELZ2	down	mRNA
PCDH12	up	mRNA
GRAMD1A	up	mRNA
SUMO2	down	mRNA
IFI6	down	mRNA
ROBO4	up	mRNA
CENPW	down	mRNA
ESD	down	mRNA
BLZF1	down	mRNA
PI4K2B	down	mRNA
SH3BGRL	down	mRNA
RPL39	down	mRNA
GPR137	up	mRNA
CALM2	down	mRNA
GNG11	down	mRNA
INF2	up	mRNA
HSBP1	down	mRNA
RNF213	down	mRNA
PSMA3	down	mRNA
EIF2AK2	down	mRNA
GIMAP2	down	mRNA
OSTC	down	mRNA
TBC1D17	up	mRNA
CYCS	down	mRNA
GBP3	down	mRNA
PLXNB1	up	mRNA
FADS2	up	mRNA
GOLM1	down	mRNA
RNPEPL1	up	mRNA
CIAO2A	down	mRNA
GBP4	down	mRNA
TNFSF13B	down	mRNA
RPL7	down	mRNA
NT5DC2	up	mRNA
TMSB4X	down	mRNA
PITPNM1	up	mRNA
NSA2	down	mRNA
NDST1	up	mRNA
TRIM21	down	mRNA
GMPR	down	mRNA
MAP2K6	down	mRNA
ETV4	up	mRNA
BAG6	up	mRNA
MRPL32	down	mRNA
DYNLL1	down	mRNA
RPL41	down	mRNA
ATP10A	down	mRNA
MVD	up	mRNA
EHBP1L1	up	mRNA
ADAMTS7	up	mRNA
COL4A2	up	mRNA
H2AFZ	down	mRNA
MCUB	down	mRNA
TMEM126A	down	mRNA
NDUFS4	down	mRNA
CLIP3	up	mRNA
CNP	down	mRNA
SELENOF	down	mRNA
NCOR2	up	mRNA
SH3RF3	up	mRNA
PANX2	up	mRNA
PCDH1	up	mRNA
POLR2K	down	mRNA
RHBDF1	up	mRNA
TMEM104	up	mRNA
PPIA	down	mRNA
SCAF1	up	mRNA
DDX60L	down	mRNA
EBPL	down	mRNA
SLC2A6	up	mRNA
GTF2A2	down	mRNA
LSM6	down	mRNA
GRPEL2	up	mRNA
IFI16	down	mRNA
HMOX1	up	mRNA
TRIM69	down	mRNA
GTF2H5	down	mRNA
PHLDB1	up	mRNA
PSMB9	down	mRNA
DOCK6	up	mRNA
RASIP1	up	mRNA
PCNA	down	mRNA
NDUFB5	down	mRNA
UBB	down	mRNA
RPS25	down	mRNA
FABP4	down	mRNA
ZNF579	up	mRNA
TMEM59	down	mRNA
MGLL	up	mRNA
RPL5	down	mRNA
PRDX3	down	mRNA
FERMT3	up	mRNA
LXN	down	mRNA
FHOD1	up	mRNA
PNPLA6	up	mRNA
PSMB8	down	mRNA
SCAMP4	up	mRNA
EEF1B2	down	mRNA
CDC42EP1	up	mRNA
PKN1	up	mRNA
TIMP3	down	mRNA
TRIM47	up	mRNA
VPS29	down	mRNA
SH3PXD2B	up	mRNA
PLXND1	up	mRNA
FKBP3	down	mRNA
DLGAP4	up	mRNA
CCL8	down	mRNA
GLIS2	up	mRNA
HAUS1	down	mRNA
GLRX	down	mRNA
NPM1	down	mRNA
MROH1	up	mRNA
DDX60	down	mRNA
PLEKHG5	up	mRNA
MED16	up	mRNA
CDKN3	down	mRNA
PDGFRL	down	mRNA
TFPI	down	mRNA
STMN1	down	mRNA
TP53INP2	up	mRNA
ITM2B	down	mRNA
SF3B6	down	mRNA
NCKAP5L	up	mRNA
COX7C	down	mRNA
SLCO4A1	up	mRNA
SMOX	up	mRNA
NIPSNAP3A	down	mRNA
ITPKB	up	mRNA
SP100	down	mRNA
VPS37B	up	mRNA
ACAP3	up	mRNA
RPS27	down	mRNA
SAT1	down	mRNA
CAV1	down	mRNA
GNA14	down	mRNA
NDUFB4	down	mRNA
NUDCD1	down	mRNA
MRPL13	down	mRNA
BOLA3	down	mRNA
MDH1	down	mRNA
PYURF	down	mRNA
PHETA1	up	mRNA
CSK	up	mRNA
SEMA7A	up	mRNA
SAMD4B	up	mRNA
SLC25A1	up	mRNA
PCGF5	down	mRNA
COX7A2	down	mRNA
CDK1	down	mRNA
